sample	genID
VA1788_2021	blaSHV-11
VA1788_2021	blaACT-6
VA1788_2021	blaACT-5
VA1788_2021	blaVIM-1
VA1788_2021	blaNDM-1
VA1788_2021	blaSHV-148
VA1788_2021	blaSHV-190
VA1788_2021	blaNDM-7
VA1788_2021	blaKPC-2
VA1788_2021	blaACT-15
VA1788_2021	blaACT-10
VA1788_2021	blaSHV-2a
VA1788_2021	blaVIM-2
VA1788_2021	blaKPC-3
VA1788_2021	blaACT-16
VA1788_2021	blaSHV-110
VA1788_2021	blaSHV-40
VA1788_2021	blaSHV-27
VA1788_2021	blaACT-7
VA1788_2021	blaSHV-1
VA1788_2021	blaSHV-81
VA1788_2021	blaACT-14
VA1788_2021	blaSHV-158
VA1046_2020	blaSHV-11
VA1046_2020	blaACT-6
VA1046_2020	blaACT-5
VA1046_2020	blaVIM-1
VA1046_2020	blaNDM-1
VA1046_2020	blaSHV-148
VA1046_2020	blaSHV-190
VA1046_2020	blaNDM-7
VA1046_2020	blaKPC-2
VA1046_2020	blaACT-15
VA1046_2020	blaACT-10
VA1046_2020	blaSHV-2a
VA1046_2020	blaVIM-2
VA1046_2020	blaKPC-3
VA1046_2020	blaACT-16
VA1046_2020	blaSHV-110
VA1046_2020	blaSHV-40
VA1046_2020	blaSHV-27
VA1046_2020	blaACT-7
VA1046_2020	blaSHV-1
VA1046_2020	blaSHV-81
VA1046_2020	blaACT-14
VA1046_2020	blaSHV-158
VA1184_2021	blaSHV-11
VA1184_2021	blaACT-6
VA1184_2021	blaACT-5
VA1184_2021	blaVIM-1
VA1184_2021	blaNDM-1
VA1184_2021	blaSHV-148
VA1184_2021	blaSHV-190
VA1184_2021	blaNDM-7
VA1184_2021	blaKPC-2
VA1184_2021	blaACT-15
VA1184_2021	blaACT-10
VA1184_2021	blaSHV-2a
VA1184_2021	blaVIM-2
VA1184_2021	blaKPC-3
VA1184_2021	blaACT-16
VA1184_2021	blaSHV-110
VA1184_2021	blaSHV-40
VA1184_2021	blaSHV-27
VA1184_2021	blaACT-7
VA1184_2021	blaSHV-1
VA1184_2021	blaSHV-81
VA1184_2021	blaACT-14
VA1184_2021	blaSHV-158
VA2464_2020	blaSHV-11
VA2464_2020	blaACT-6
VA2464_2020	blaACT-5
