Name	Protein identifier	Contig id	Start	Stop	Strand	Gene symbol	Sequence name	Scope	Element type	Element subtype	Class	Subclass	Method	Target length	Reference sequence length	% Coverage of reference sequence	% Identity to reference sequence	Alignment length	Accession of closest sequence	Name of closest sequence	HMM id	HMM description
VA1046_2020	NA	97	2192	3001	-	blaNDM-7	subclass B1 metallo-beta-lactamase NDM-7	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEX	270	270	100.0	100.0	270	WP_032495622.1	subclass B1 metallo-beta-lactamase NDM-7	NA	NA
VA1184_2021	NA	32	3804	4601	-	blaVIM-1	subclass B1 metallo-beta-lactamase VIM-1	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEX	266	266	100.0	100.0	266	WP_013263789.1	subclass B1 metallo-beta-lactamase VIM-1	NA	NA
VA1788_2021	NA	35	2255	3133	-	blaKPC-3	carbapenem-hydrolyzing class A beta-lactamase KPC-3	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEX	293	293	100.0	100.0	293	WP_004152396.1	carbapenem-hydrolyzing class A beta-lactamase KPC-3	NA	NA
VA2464_2020	NA	55	2466	3275	+	blaNDM-7	subclass B1 metallo-beta-lactamase NDM-7	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEX	270	270	100.0	100.0	270	WP_032495622.1	subclass B1 metallo-beta-lactamase NDM-7	NA	NA
VA418_2022	NA	23	49221	50030	+	blaNDM-7	subclass B1 metallo-beta-lactamase NDM-7	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEX	270	270	100.0	100.0	270	WP_032495622.1	subclass B1 metallo-beta-lactamase NDM-7	NA	NA
VA692_2022	NA	16	47997	48806	-	blaNDM-7	subclass B1 metallo-beta-lactamase NDM-7	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEX	270	270	100.0	100.0	270	WP_032495622.1	subclass B1 metallo-beta-lactamase NDM-7	NA	NA
VA692_2022	NA	26	28	825	+	blaVIM-1	subclass B1 metallo-beta-lactamase VIM-1	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEX	266	266	100.0	100.0	266	WP_013263789.1	subclass B1 metallo-beta-lactamase VIM-1	NA	NA
VA1101_2021	NA	38	81	878	-	blaVIM-2	subclass B1 metallo-beta-lactamase VIM-2	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEX	266	266	100.0	100.0	266	WP_003108247.1	subclass B1 metallo-beta-lactamase VIM-2	NA	NA
VA1101_2021	NA	41	9697	10506	-	blaNDM-7	subclass B1 metallo-beta-lactamase NDM-7	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEX	270	270	100.0	100.0	270	WP_032495622.1	subclass B1 metallo-beta-lactamase NDM-7	NA	NA
VA1565_2021	NA	60	2466	3275	+	blaNDM-7	subclass B1 metallo-beta-lactamase NDM-7	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEX	270	270	100.0	100.0	270	WP_032495622.1	subclass B1 metallo-beta-lactamase NDM-7	NA	NA
VA2067_2020	NA	28	28	825	+	blaVIM-1	subclass B1 metallo-beta-lactamase VIM-1	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEX	266	266	100.0	100.0	266	WP_013263789.1	subclass B1 metallo-beta-lactamase VIM-1	NA	NA
VA2067_2020	NA	29	1381	2190	+	blaNDM-7	subclass B1 metallo-beta-lactamase NDM-7	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEX	270	270	100.0	100.0	270	WP_032495622.1	subclass B1 metallo-beta-lactamase NDM-7	NA	NA
VA2588_2020	NA	35	354	1163	+	blaNDM-1	subclass B1 metallo-beta-lactamase NDM-1	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEX	270	270	100.0	100.0	270	WP_004201164.1	subclass B1 metallo-beta-lactamase NDM-1	NA	NA
VA585_2022	NA	30	13742	14620	+	blaKPC-2	carbapenem-hydrolyzing class A beta-lactamase KPC-2	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEX	293	293	100.0	100.0	293	WP_004199234.1	carbapenem-hydrolyzing class A beta-lactamase KPC-2	NA	NA
VA585_2022	NA	30	38894	39691	-	blaVIM-1	subclass B1 metallo-beta-lactamase VIM-1	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEX	266	266	100.0	100.0	266	WP_013263789.1	subclass B1 metallo-beta-lactamase VIM-1	NA	NA
